,od280/od315_of_diluted_wines,nonflavanoid_phenols,alcalinity_of_ash,total_phenols,ash,hue,fruitness,malic_acid,magnesium,origin,proanthocyanins,proline,color_intensity,alcohol,flavanoids,label
34,1.75,0.4,18.5,1.39,2.35,0.68,14.03989325723995,3.45,106.0,Italian,0.94,675.0,5.28,12.96,0.7,white
35,1.56,0.43,23.0,1.7,2.6,0.85,5.616902769628802,3.7,111.0,Italian,1.46,695.0,10.68,13.45,0.92,white
36,1.8,0.39,24.5,1.55,2.69,0.74,25.310406047949265,2.58,105.0,Italian,1.54,750.0,8.66,13.58,0.84,white
37,1.92,0.27,25.0,1.98,2.86,0.67,29.026165430000297,4.6,112.0,Italian,1.11,630.0,8.5,13.4,0.96,white
38,1.83,0.4,19.0,1.25,2.32,0.66,9.67290919372045,3.03,96.0,French,0.73,510.0,5.5,12.2,0.49,white
39,1.74,0.52,20.5,1.68,2.45,0.64,10.404495758943925,5.65,95.0,German,1.06,740.0,7.7,13.71,0.61,white
40,1.56,0.43,23.0,1.8,2.48,0.7,29.896749869449348,3.91,102.0,French,1.41,750.0,7.3,13.4,0.75,white
41,2.93,0.39,21.0,2.8,2.87,1.04,16.22364415837589,2.59,118.0,German,1.82,735.0,4.32,13.24,2.69,red
42,3.0,0.29,12.0,3.3,2.38,1.2,25.505268399861514,1.87,102.0,Spanish,2.96,1547.0,7.5,14.38,3.64,red
43,2.65,0.33,20.0,2.8,2.72,1.07,17.242349841700847,1.92,120.0,French,1.97,1280.0,6.2,14.3,3.14,red
44,2.88,0.22,19.1,2.86,2.36,1.09,26.700165553302966,1.66,106.0,Spanish,1.95,1515.0,6.9,13.58,3.19,red
45,3.56,0.17,15.0,3.25,2.59,0.88,17.357322138504188,1.89,101.0,German,1.7,1095.0,5.43,13.88,3.56,red
46,3.35,0.28,17.0,3.0,2.1,0.88,26.80089697110475,1.77,107.0,Spanish,2.03,885.0,5.04,13.05,3.0,red
47,3.37,0.22,17.2,2.45,2.6,1.24,10.887492316582543,1.65,94.0,Spanish,2.29,1265.0,5.6,13.83,2.99,red
48,1.82,0.28,10.6,1.98,1.36,1.05,16.48588877376484,0.94,88.0,Spanish,0.42,520.0,1.95,12.37,0.57,sparkling
49,3.07,0.14,16.8,1.85,1.75,1.28,23.273385942779143,1.19,151.0,German,2.5,718.0,2.85,12.21,1.28,sparkling
50,3.5,0.21,30.0,3.3,2.6,1.31,21.922788007672825,1.67,139.0,Spanish,1.96,985.0,3.35,12.99,2.89,sparkling
51,3.08,0.22,18.0,2.2,2.58,0.79,18.953560645695354,0.89,94.0,Italian,2.35,520.0,3.05,11.84,2.21,sparkling
52,3.3,0.66,22.0,1.68,2.27,0.86,15.476074723747889,2.55,90.0,Spanish,1.42,315.0,2.7,12.42,1.84,sparkling
53,3.02,0.39,19.0,2.36,1.94,0.86,26.417813820195892,1.29,92.0,Italian,2.08,312.0,2.7,12.22,2.04,sparkling
54,1.82,0.58,19.5,1.62,2.19,0.81,17.262995412439356,3.59,88.0,German,0.88,580.0,5.7,13.49,0.48,white
55,1.62,0.45,21.5,1.93,2.38,0.55,28.48442473886776,3.24,92.0,Italian,1.25,650.0,8.42,13.32,0.76,white
56,2.11,0.6,22.0,1.65,2.58,0.87,16.12661321662536,3.27,106.0,Italian,0.96,570.0,5.58,12.85,0.6,white
57,1.75,0.52,22.5,1.28,2.26,0.78,28.193175357136965,4.36,88.0,Spanish,1.15,520.0,6.62,13.73,0.47,white
