,hue,color_intensity,malic_acid,od280/od315_of_diluted_wines,alcalinity_of_ash,nonflavanoid_phenols,proanthocyanins,flavanoids,magnesium,alcohol,acidity,total_phenols,type,ash,proline,label
44,1.25,5.4,1.53,3.0,19.5,0.5,1.35,2.74,132.0,13.76,11.216241606665173,2.95,sweet,2.7,1235.0,red
45,0.89,5.1,3.99,3.53,13.2,0.2,2.08,3.04,128.0,14.22,14.112532122650988,3.0,dry,2.51,760.0,red
46,0.91,6.1,1.68,3.33,16.0,0.21,2.14,3.39,101.0,13.9,14.515818257155328,3.1,dry,2.12,985.0,red
47,0.94,6.38,1.7,3.31,16.3,0.26,2.03,3.0,118.0,14.22,14.782756152197221,3.2,dry,2.3,970.0,red
48,1.16,3.9,1.81,3.14,18.8,0.26,1.77,2.53,86.0,12.72,13.192936777736694,2.2,sweet,2.2,714.0,sparkling
49,1.23,2.9,1.41,2.74,16.0,0.29,1.77,2.5,85.0,12.29,12.695913465333337,2.55,dry,1.98,428.0,sparkling
50,0.88,3.3,1.75,2.42,22.5,0.48,1.63,1.76,84.0,12.72,12.599248227779976,1.38,dry,2.28,488.0,sparkling
51,1.23,3.8,2.68,2.5,20.0,0.6,1.05,2.03,103.0,11.76,10.362829891041121,1.75,sweet,2.92,607.0,sparkling
52,1.1,3.08,0.74,2.31,21.0,0.42,1.44,2.01,88.0,11.41,14.745031875988632,2.48,sweet,2.5,434.0,sparkling
53,0.93,2.9,1.39,3.19,22.5,0.43,1.04,2.29,84.0,12.08,13.833130571280602,2.56,sweet,2.5,385.0,sparkling
54,0.76,4.1,1.35,1.29,18.0,0.21,0.94,1.25,122.0,12.86,13.530281167675057,1.51,sweet,2.32,630.0,white
55,0.61,7.1,1.9,1.33,25.5,0.26,1.56,1.28,116.0,13.11,14.478197745351498,2.2,dry,2.75,425.0,white
56,0.56,7.65,3.83,1.58,21.0,0.5,1.04,0.92,88.0,12.36,12.88949744105282,2.3,sweet,2.38,520.0,white
57,0.62,9.7,2.51,1.71,20.0,0.44,1.24,0.7,91.0,14.16,10.277541454710857,1.68,sweet,2.48,660.0,white
